No1_D[m]	No2_L/D	No3_alpha	No4_rhoL	No5_rhot	No6_dL[mm]	No7_fy[MPa]	No8_fc[MPa]	No9_epsilonC	No10_XL	No11_Xt
1.4613269	5.3868705	0.2231809	0.0119299	0.0143730	33.6802197	429.2837808	31.7421825	0.0028417	0.0459003	0.0908638
1.1597513	1.1514684	0.0835442	0.0190061	0.0106774	35.9017143	461.9058692	46.3263938	0.0025192	0.1528139	0.3463197
1.1916405	5.2401350	0.1345659	0.0180076	0.0064923	42.7651248	491.5147863	43.1542975	0.0029715	0.1613407	0.4438927
1.0498330	5.6629511	0.1590153	0.0206879	0.0149121	42.1434239	500.0048440	48.4519435	0.0027592	0.1082234	0.2709018
1.7033486	2.8599265	0.2168411	0.0124346	0.0090590	31.5151500	547.0740474	40.3492787	0.0013073	0.0872477	0.1066496
0.8490533	6.3566999	0.2018454	0.0283216	0.0138936	36.1806847	544.6711097	47.1378160	0.0023560	0.2258515	0.5238708
0.8250739	1.6082759	0.0643497	0.0219604	0.0084337	28.0760158	500.2386826	48.7649323	0.0017735	0.1797535	0.2022017
1.7914222	5.9924700	0.1929963	0.0230073	0.0053705	32.7350340	482.3659834	33.4564872	0.0020064	0.1690045	0.3531423
1.6571553	2.0896093	0.2469916	0.0299012	0.0091612	41.7445148	444.8718775	30.9796806	0.0027436	0.2556042	0.4986256
1.5144871	5.9570443	0.2129455	0.0100924	0.0127135	29.5365454	536.8147056	48.2371085	0.0020377	0.1586245	0.2028378
1.0002735	7.1788243	0.0951181	0.0256104	0.0071207	41.7277646	494.7775335	35.8313805	0.0029374	0.0821126	0.1068024
1.1467750	2.2460521	0.1227367	0.0208353	0.0076551	34.5104325	462.7396602	38.8724873	0.0012134	0.1478188	0.2295219
0.9860867	6.7538155	0.0896494	0.0289271	0.0112449	31.8059330	488.2832527	30.5464595	0.0018048	0.2343844	0.5353842
1.4232729	6.1992204	0.1565431	0.0227505	0.0102479	33.1980571	402.8301226	49.3132908	0.0025910	0.0140297	0.0349559
