No1_D[m]	No2_L/D	No3_alpha	No4_rhoL	No5_rhot	No6_dL[mm]	No7_fy[MPa]	No8_fc[MPa]	No9_epsilonC	No10_XL	No11_Xt
1.0738235	5.8196393	0.0589755	0.0257999	0.0012722	30.3561894	447.3240728	49.0070919	0.0023814	0.1462534	0.4243156
1.3668705	1.1416802	0.1916514	0.0196275	0.0028660	37.4316308	457.4483600	45.4807708	0.0015928	0.1196059	0.1315838
0.9060621	3.5049695	0.2390434	0.0288284	0.0024694	33.2638430	485.2238176	38.1265330	0.0026607	0.1984478	0.5664392
1.3113717	1.7254070	0.0637169	0.0208241	0.0025013	40.1585759	503.6043562	41.2959436	0.0014148	0.0756433	0.1459185
1.5477419	1.2540516	0.2253423	0.0227294	0.0056075	30.5861789	519.0595761	46.9756518	0.0018133	0.1431515	0.2126737
1.4789896	2.2266378	0.0585499	0.0282462	0.0035594	29.1186890	420.6181774	48.9462511	0.0020826	0.0920214	0.1954590
1.3503659	2.1363025	0.1468596	0.0286015	0.0039409	30.0878971	474.6085916	45.4866541	0.0029525	0.2550029	0.5020072
1.2871266	1.2700223	0.0609550	0.0263749	0.0024851	36.7821926	478.8574378	42.7633989	0.0028391	0.1232311	0.2569022
1.0857602	2.0921511	0.2065579	0.0197907	0.0023592	34.9666844	523.6555643	31.8332983	0.0027835	0.2749240	0.6044615
1.1246042	3.1610517	0.0919370	0.0231231	0.0015652	40.7933633	489.5504028	34.9356331	0.0016566	0.2655467	0.4391254
1.1929179	2.3859875	0.0972179	0.0285023	0.0025975	35.7441501	438.0932943	49.2819351	0.0021595	0.1264180	0.1297659
1.3934567	1.1310230	0.2247325	0.0173021	0.0059162	34.1989860	543.1469883	49.1792184	0.0016754	0.2639214	0.7473827
1.2839555	1.3308115	0.0661896	0.0227215	0.0104266	38.2088693	485.6477577	33.6407833	0.0020299	0.2593903	0.7161413
1.5240809	1.5479354	0.1570637	0.0248225	0.0012369	41.8957938	432.7236196	46.5978701	0.0013820	0.1128949	0.2220799
1.7604901	1.2160993	0.2353705	0.0195452	0.0089202	34.7574393	531.2531538	44.2465452	0.0026671	0.1346714	0.1613019
1.2209618	1.4515440	0.0606348	0.0268654	0.0052550	34.0847680	510.3138538	43.7035266	0.0028290	0.0629035	0.1584639
1.4818407	1.5529526	0.0563558	0.0278213	0.0027031	39.7589087	540.1329036	34.4532886	0.0028238	0.0240482	0.0654480
0.8797496	2.3721358	0.2271709	0.0240425	0.0016718	35.2396177	448.5498220	37.7097094	0.0026076	0.0654395	0.0765943
1.0239300	1.2376037	0.2398470	0.0263548	0.0055742	37.5049224	457.4847937	43.7343773	0.0029901	0.1759350	0.3366071
1.7661222	1.4519951	0.2145305	0.0156857	0.0012242	42.3657371	436.2561714	39.8690934	0.0015504	0.1864654	0.4660336
0.9617500	1.0488741	0.2022247	0.0196694	0.0022776	29.4840024	418.7081110	40.2815580	0.0026351	0.0486748	0.0902649
1.2275250	1.4610993	0.0645316	0.0272387	0.0051560	32.2717727	461.3145102	48.5328181	0.0028095	0.2233367	0.6546133
1.3580890	2.1591468	0.0904666	0.0266834	0.0065636	38.4835051	519.2815245	40.4759461	0.0027990	0.2992236	0.6021032
1.3038106	2.0500462	0.0773622	0.0185159	0.0010888	30.6138988	424.0114292	38.3118040	0.0013906	0.0838276	0.1102217
1.2357391	1.2712293	0.1220200	0.0225721	0.0046412	35.8653193	484.7481638	31.9747167	0.0022172	0.1801416	0.3897543
1.2573650	1.1204941	0.1050353	0.0210520	0.0123891	36.2983060	455.4537915	33.2933751	0.0019277	0.2656128	0.7191949
1.7432336	3.8187274	0.2284683	0.0230211	0.0010258	28.8738644	549.2470734	33.2698586	0.0020251	0.1291043	0.1688097
1.5676775	1.5151378	0.1070288	0.0266872	0.0067412	28.6988484	509.9225689	37.5503908	0.0023256	0.2370100	0.6401839
1.1633433	2.6152778	0.1221001	0.0258496	0.0028333	34.0127025	506.3597784	36.0068020	0.0017757	0.0495945	0.1070068
1.5715602	3.4234026	0.1578471	0.0299343	0.0032939	42.9427910	514.6648095	32.3851213	0.0020723	0.0428737	0.1037552
1.7883618	1.1364610	0.0603324	0.0241785	0.0023286	35.5537107	521.9693510	46.9571707	0.0023386	0.0847217	0.1239326
1.4266958	2.0710076	0.0509307	0.0291042	0.0037332	29.4473893	413.0663690	48.4169494	0.0027318	0.1469384	0.2582241
1.5427458	1.3273603	0.1205450	0.0232112	0.0012641	37.5628449	544.8496811	45.9100572	0.0020654	0.2237342	0.3787987
1.4951783	1.9879372	0.0914020	0.0298164	0.0015071	40.5778599	450.3359718	33.2398001	0.0011225	0.2601488	0.6619131
1.7039324	2.6530650	0.1674560	0.0243307	0.0045185	28.2921188	450.0405419	32.0757058	0.0023664	0.2994319	0.7777090
1.2467485	1.9789410	0.1291492	0.0168659	0.0015380	29.2730945	529.4584989	41.1115425	0.0028922	0.1461643	0.1605236
1.6173646	1.1549696	0.1635614	0.0202290	0.0041384	37.2745450	497.9577088	44.1409085	0.0019607	0.1502141	0.3365280
1.2177909	1.3279549	0.1374021	0.0245851	0.0025001	37.1504564	537.0309694	31.7262741	0.0027787	0.2605891	0.6950408
0.9768427	1.3329848	0.1197491	0.0232090	0.0100199	35.5103484	523.9898545	46.7490911	0.0016621	0.1821152	0.5433157
1.6402207	1.8790094	0.1231812	0.0218286	0.0052930	29.3435329	536.1199557	49.6271847	0.0017498	0.2248399	0.5432172
1.3250670	1.7087292	0.1192279	0.0182997	0.0039617	42.5572124	533.8694161	43.1233061	0.0025077	0.2749659	0.6669020
1.1822987	1.6529462	0.1494491	0.0264090	0.0027287	35.0887030	489.7721326	44.6530202	0.0019896	0.1830352	0.2559177
1.3962380	1.1759217	0.0813966	0.0179255	0.0025984	33.1322519	421.8519439	33.2017826	0.0012767	0.1635822	0.4109050
1.4132802	2.8718643	0.1265879	0.0250345	0.0013624	33.8881013	488.6859670	35.5298244	0.0012001	0.1964706	0.4217959
1.7577748	1.0803197	0.2357391	0.0268578	0.0075733	30.2765115	502.7651608	47.7837130	0.0027968	0.0644367	0.0742458
1.7843623	1.1638847	0.1556907	0.0260502	0.0025431	33.0132553	545.1859496	39.5359940	0.0024075	0.2969764	0.6208373
1.5602567	1.8052156	0.1033814	0.0230083	0.0021021	34.2815371	428.2116176	49.3440996	0.0015883	0.2200033	0.4051227
1.5887430	2.2115947	0.1373677	0.0284204	0.0033227	32.1421299	460.3736977	42.9899419	0.0029273	0.2126364	0.2742859
1.2530682	1.3118110	0.2104733	0.0253597	0.0081328	31.6688080	484.2203683	45.1242427	0.0022384	0.2490057	0.4827625
1.6519297	1.9484526	0.1925663	0.0269512	0.0051510	35.0731514	497.8039397	34.7204244	0.0021917	0.2611592	0.6588439
1.7781526	3.7181535	0.1005485	0.0282692	0.0017860	32.0162604	421.6750009	33.6320074	0.0021049	0.0498772	0.1149027
1.7281078	1.1839043	0.1173684	0.0231965	0.0072293	33.8846083	546.6277006	41.1479627	0.0028033	0.1150777	0.3110661
1.7308429	3.2455414	0.2255407	0.0295721	0.0015171	35.7025659	420.7990735	33.1064673	0.0029779	0.0677443	0.1214338
1.4738788	1.2087377	0.1208008	0.0243505	0.0014662	40.1069044	538.4792229	44.1900937	0.0016054	0.0987750	0.1750520
1.0071534	1.0832150	0.2072723	0.0110944	0.0012204	28.0725826	414.6998822	37.6006029	0.0028071	0.1667270	0.3936731
1.7721197	3.1573084	0.1782251	0.0280010	0.0029029	40.6799463	452.4930341	48.2191323	0.0021414	0.1770746	0.4504045
1.6938095	2.2156401	0.2417227	0.0280585	0.0090301	37.7032590	510.6070326	37.6283277	0.0013410	0.2801791	0.7142028
1.7881011	2.5422856	0.2305767	0.0299656	0.0044210	32.7132422	437.7976018	46.8564361	0.0021073	0.1607955	0.4775076
1.7232300	3.6007809	0.1612939	0.0271058	0.0016294	39.5930101	499.4420260	44.0807605	0.0015079	0.2448185	0.4892397
0.8241404	1.8171876	0.2354882	0.0231957	0.0016891	40.0810262	434.7560501	40.2882549	0.0027729	0.2550076	0.6338611
1.1281653	3.6462652	0.0852810	0.0263313	0.0023856	37.7259590	489.9308821	30.5080020	0.0021628	0.2214405	0.4085532
1.0394829	2.1660840	0.2167527	0.0242849	0.0029472	33.1577001	490.6896150	39.3627779	0.0023799	0.1475975	0.2903785
0.9746153	2.0589649	0.0822482	0.0241392	0.0053846	36.9459214	505.7076301	35.3180514	0.0022040	0.1766097	0.5156697
1.0152720	1.2405899	0.1387325	0.0291404	0.0110953	29.7405330	525.6135404	45.7312962	0.0026836	0.1418056	0.2763867
1.2171793	2.4437466	0.2046003	0.0279102	0.0046284	39.4601626	484.5726553	31.1266216	0.0012098	0.2658152	0.6766850
1.7273866	1.8749790	0.0836327	0.0284688	0.0045024	28.8657954	441.0641659	38.0704750	0.0011930	0.2200963	0.6419987
1.0288386	2.1109153	0.0915753	0.0170295	0.0019959	34.7691284	535.6580238	44.2413399	0.0022355	0.1641814	0.3947994
1.5974092	5.2619161	0.1671610	0.0295809	0.0011281	40.7085693	506.2383141	48.0031036	0.0024211	0.1373668	0.1817156
1.0737088	2.0523838	0.2435073	0.0226370	0.0050820	34.5579407	545.3019817	34.5118116	0.0019119	0.2745553	0.7031480
