LS1_DriftRatio	LS2_DriftRatio	LS3_DriftRatio	LS4_DriftRatio
0.0071562	0.0179539	0.0278624	0.0371782
0.0047426	0.0074884	0.0097349	0.0114822
0.0112100	0.0160677	0.0214059	0.0247154
0.0117181	0.0211936	0.0285385	0.0362196
0.0058161	0.0095795	0.0124534	0.0147114
0.0208132	0.0274216	0.0333506	0.0376738
0.0067827	0.0108021	0.0135655	0.0155752
0.0105263	0.0152461	0.0198727	0.0233193
0.0083747	0.0112626	0.0133803	0.0148242
0.0102344	0.0175499	0.0249024	0.0312204
0.0142045	0.0270165	0.0357435	0.0437741
0.0062119	0.0099649	0.0121650	0.0135885
0.0162667	0.0273281	0.0357868	0.0421935
0.0074425	0.0170006	0.0243298	0.0318856
0.0086710	0.0126451	0.0157522	0.0179200
0.0109286	0.0198943	0.0270563	0.0340591
0.0124055	0.0167907	0.0225608	0.0268017
0.0071440	0.0233745	0.0370699	0.0476378
0.0099316	0.0179558	0.0247304	0.0297948
0.0089004	0.0229557	0.0342322	0.0432534
0.0079286	0.0137368	0.0179777	0.0216654
0.0059555	0.0106252	0.0134676	0.0152272
0.0053693	0.0081353	0.0104131	0.0122029
0.0109334	0.0153521	0.0196008	0.0229432
0.0087626	0.0190744	0.0277101	0.0345677
0.0061830	0.0095762	0.0119891	0.0139495
0.0127543	0.0179858	0.0224390	0.0258113
0.0054516	0.0086652	0.0114770	0.0140594
0.0069606	0.0159971	0.0241381	0.0307730
0.0094230	0.0158859	0.0199808	0.0228422
0.0121723	0.0157834	0.0209768	0.0243445
0.0141321	0.0243461	0.0327767	0.0393158
0.0067540	0.0101309	0.0122091	0.0137677
0.0102520	0.0153314	0.0196185	0.0231135
0.0104873	0.0164430	0.0213630	0.0254413
0.0091638	0.0194462	0.0265449	0.0338156
0.0101415	0.0208237	0.0276191	0.0326126
0.0086256	0.0135265	0.0171858	0.0209759
0.0111132	0.0202229	0.0281117	0.0351866
0.0170552	0.0231494	0.0291998	0.0338033
0.0119872	0.0177588	0.0225537	0.0256615
